,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
8335,1139,3.0,6.0,10023.0,D8,3.0,30125.0,568001.0,47.0,456.0,66402450.0,1986.0,-73.98334090000002,40.7755664,2
10844,1295,2.0,4.0,10017.0,O4,5.0,10419.0,118587.0,26.0,38.0,23260050.0,1937.0,-73.97643199999999,40.750459,0
11026,1375,2.0,4.0,10022.0,RD,3.0,6024.0,186643.0,51.0,43.0,63428415.0,2015.0,-73.9700052,40.764055,2
11045,807,2.0,3.0,10001.0,RM,4.0,22080.0,473783.0,59.0,462.0,90285430.0,2005.0,-73.99014,40.748723600000005,2
11366,1391,2.0,4.0,10021.0,H1,5.0,18803.0,294142.0,40.0,259.0,49350150.0,1930.0,-73.96299259999999,40.7743814,0
11450,69,2.0,1.0,10038.0,D8,3.0,16642.0,222001.0,28.0,194.0,25842150.0,2007.0,-74.006752,40.7070831,0
11481,69,2.0,1.0,10038.0,D8,3.0,24128.0,627300.0,51.0,652.0,82865250.0,2003.0,-74.0069324,40.7074097,2
12054,77,2.0,1.0,10038.0,O4,5.0,32511.0,788241.0,31.0,46.0,58251600.0,1956.0,-74.006745,40.7087739,0
13038,869,2.0,4.0,10016.0,O4,5.0,14714.0,442042.0,48.0,86.0,39505500.0,1928.0,-73.9812175,40.751538599999996,2
13194,1616,4.0,9.0,10029.0,D7,4.0,81805.0,680000.0,34.0,611.0,49800600.0,1974.0,-73.94813959999999,40.796805600000006,0
13215,1104,2.0,6.0,10019.0,D7,4.0,85996.0,1192139.0,42.0,1033.0,162364950.0,2015.0,-73.9926712,40.7704347,0
13664,16,2.0,1.0,10004.0,RM,4.0,46266.0,523677.0,38.0,117.0,69166676.0,2003.0,-74.0175252,40.7055724,0
13903,2133,28.0,29.0,11375.0,D4,3.0,87601.0,552840.0,30.0,498.0,16404750.0,1964.0,-73.8508422,40.7283464,3
14538,165,15.0,33.0,11201.0,RM,4.0,18145.0,228246.0,26.0,318.0,28926450.0,2009.0,-73.9849672,40.6889559,1
16465,1449,2.0,5.0,10021.0,D6,4.0,35400.0,455173.0,33.0,476.0,58842000.0,1979.0,-73.95669140000001,40.770262100000004,0
16642,11,2.0,1.0,10004.0,O4,5.0,13135.0,361710.0,37.0,76.0,25300800.0,1935.0,-74.0118516,40.7043105,0
16941,2095,13.0,35.0,11217.0,RZ,4.0,11110.0,122016.0,28.0,109.0,9978745.0,2006.0,-73.9786355,40.68825220000001,1
18553,2472,14.0,33.0,11222.0,D7,4.0,55649.0,510050.0,40.0,445.0,17667900.0,2020.0,-73.9617481,40.73467279999999,1
19935,804,2.0,3.0,10001.0,H1,5.0,3823.0,73497.0,32.0,1.0,8379000.0,2004.0,-73.99070329999999,40.746283500000004,0
20968,1455,2.0,5.0,10022.0,D8,3.0,35904.0,307000.0,41.0,234.0,29385450.0,2001.0,-73.9598638,40.7599485,0
21164,1313,2.0,4.0,10022.0,O4,5.0,26750.0,596734.0,36.0,29.0,81850950.0,1969.0,-73.9693165,40.7622186,0
21535,42,2.0,1.0,10005.0,O4,5.0,20684.0,527605.0,26.0,52.0,30641400.0,1912.0,-74.0078016,40.707085799999994,0
22690,869,2.0,4.0,10016.0,O4,5.0,38019.0,927829.0,41.0,65.0,131844150.0,1963.0,-73.979359,40.750745,0
22723,1491,2.0,4.0,10075.0,D4,3.0,9720.0,111231.0,26.0,43.0,13135950.0,1967.0,-73.9614135,40.776692,0
22859,3111,12.0,15.0,10460.0,D7,4.0,24417.0,201100.0,30.0,169.0,6331050.0,1973.0,-73.8846033,40.846439000000004,0
23679,1273,2.0,4.0,10019.0,RM,4.0,17029.0,198816.0,33.0,176.0,27099447.0,1969.0,-73.97635129999999,40.7644572,0
24058,1313,2.0,4.0,10022.0,O4,5.0,11287.0,278921.0,27.0,25.0,64328850.0,1981.0,-73.9696052,40.7625398,0
28800,1313,2.0,4.0,10022.0,RM,4.0,84348.0,1103169.0,54.0,109.0,402504766.0,2001.0,-73.96763100000001,40.761575799999996,2
28835,1292,2.0,4.0,10022.0,RM,4.0,34470.0,583015.0,90.0,291.0,102382672.0,2012.0,-73.97179679999999,40.7615001,2
28861,1366,2.0,4.0,10022.0,RM,4.0,17573.0,185600.0,31.0,107.0,20225703.0,1983.0,-73.9630135,40.7561508,0
28923,1293,2.0,4.0,10022.0,RC,5.0,26519.0,532225.0,52.0,3.0,84064501.0,1992.0,-73.9712766,40.7623206,2
28934,1394,2.0,4.0,10022.0,RD,3.0,6025.0,139973.0,42.0,96.0,17216565.0,1998.0,-73.96917890000002,40.763217600000004,0
28952,68,2.0,1.0,10038.0,RM,4.0,10237.0,149564.0,26.0,149.0,24068443.0,1927.0,-74.0068567,40.7081426,0
28956,427,1.0,1.0,10002.0,RM,4.0,22705.0,214757.0,28.0,12.0,52419262.0,2014.0,-73.9919837,40.7230246,0
28961,1360,2.0,4.0,10017.0,RC,5.0,88357.0,306964.0,37.0,85.0,50950283.0,1967.0,-73.9659896,40.7525205,0
28997,1501,2.0,4.0,10128.0,RM,4.0,33783.0,582673.0,38.0,255.0,54444600.0,1969.0,-73.9566686,40.7829675,0
29019,1374,2.0,4.0,10022.0,RM,4.0,14058.0,245794.0,31.0,150.0,46147512.0,1927.0,-73.97009940000001,40.763278299999996,0
29021,1515,2.0,5.0,10028.0,RM,4.0,28535.0,339019.0,28.0,276.0,49865921.0,1991.0,-73.95418670000001,40.779478000000005,0
29022,1496,2.0,4.0,10028.0,RM,4.0,15071.0,164587.0,30.0,95.0,32291563.0,1987.0,-73.95977579999999,40.7800729,0
29024,1646,2.0,5.0,10128.0,RM,4.0,41755.0,490810.0,41.0,482.0,56172335.0,2005.0,-73.9479718,40.7851295,0
29030,1534,2.0,5.0,10128.0,RM,4.0,13191.0,221576.0,45.0,255.0,29627559.0,1987.0,-73.95240229999999,40.7805093,2
29033,76,2.0,1.0,10038.0,RM,4.0,10030.0,158477.0,30.0,159.0,19439075.0,2000.0,-74.005634,40.708373200000004,0
29057,16,2.0,1.0,10282.0,RM,4.0,38225.0,355980.0,27.0,798.0,61101899.0,1998.0,-74.0150285,40.717718299999994,0
29486,1376,2.0,4.0,10065.0,D8,3.0,28235.0,355978.0,33.0,234.0,77761350.0,1979.0,-73.97142690000001,40.7655046,0
29571,1500,2.0,4.0,10128.0,D4,3.0,23345.0,364623.0,30.0,211.0,39258000.0,1973.0,-73.9569363,40.78221,0
40226,67,2.0,1.0,10038.0,O4,5.0,59391.0,1073000.0,44.0,57.0,78511500.0,1965.0,-74.0079821,40.708658500000006,2
40246,77,2.0,1.0,10038.0,D6,4.0,17384.0,424448.0,61.0,246.0,38050200.0,2017.0,-74.0063446,40.7091115,2
40272,78,2.0,1.0,10038.0,O4,5.0,21242.0,493039.0,26.0,41.0,42336000.0,1912.0,-74.0071418,40.709322799999995,0
40315,1292,2.0,4.0,10022.0,O4,5.0,13375.0,296915.0,32.0,62.0,93264750.0,1972.0,-73.9713275,40.7614945,0
62713,1365,2.0,4.0,10022.0,RM,4.0,19449.0,236322.0,31.0,232.0,30162604.0,1972.0,-73.9640026,40.7560029,0
63680,1364,2.0,4.0,10022.0,D4,3.0,54050.0,460973.0,26.0,79.0,44264700.0,1931.0,-73.96311180000001,40.7546385,0
63689,1369,2.0,5.0,10022.0,HS,5.0,7637.0,105734.0,34.0,125.0,8163900.0,1974.0,-73.9619835,40.7584698,0
63717,1364,2.0,4.0,10022.0,D6,4.0,20847.0,312417.0,34.0,295.0,28080900.0,1974.0,-73.9636964,40.754935100000004,0
63726,1365,2.0,4.0,10022.0,D7,4.0,28308.0,445735.0,37.0,396.0,74514600.0,1982.0,-73.96353,40.7556762,0
63783,1547,2.0,5.0,10028.0,D6,4.0,19923.0,261782.0,32.0,187.0,23681700.0,1970.0,-73.9504413,40.7759879,0
64589,1541,2.0,5.0,10128.0,D6,4.0,25605.0,329850.0,35.0,387.0,32594850.0,1985.0,-73.9492396,40.7846799,0
64602,1118,13.0,35.0,11217.0,D8,3.0,11362.0,333280.0,32.0,365.0,25560900.0,2013.0,-73.9754972,40.681966100000004,1
64637,1118,13.0,35.0,11217.0,D6,4.0,31906.0,790392.0,49.0,754.0,22882050.0,2019.0,-73.97417370000001,40.6827178,1
64680,1269,2.0,4.0,10019.0,D6,4.0,2143.0,72071.0,73.0,184.0,11062350.0,2015.0,-73.9784056,40.7617523,2
67107,341,1.0,1.0,10002.0,D6,4.0,56032.0,225000.0,26.0,404.0,17928000.0,1972.0,-73.9860432,40.7162445,0
67392,1311,2.0,4.0,10022.0,D8,3.0,8060.0,158063.0,32.0,145.0,19303650.0,1997.0,-73.96862790000002,40.7604014,0
67421,1312,2.0,4.0,10155.0,O4,5.0,28491.0,570453.0,39.0,144.0,80525250.0,1968.0,-73.96792370000001,40.7610352,0
67457,1369,2.0,5.0,10022.0,D3,3.0,6025.0,259670.0,64.0,155.0,12433950.0,2017.0,-73.96127249999999,40.7582445,2
67492,1394,2.0,4.0,10022.0,O4,5.0,24602.0,386287.0,28.0,41.0,64124100.0,1986.0,-73.9682622,40.7626684,0
67494,1396,2.0,4.0,10065.0,D4,3.0,21087.0,312646.0,39.0,183.0,37465650.0,1983.0,-73.9657675,40.7632523,0
67719,1523,2.0,5.0,10128.0,D6,4.0,17566.0,242157.0,29.0,281.0,28366200.0,1980.0,-73.9503412,40.784370200000005,0
67783,1532,2.0,5.0,10028.0,D7,4.0,10315.0,256810.0,35.0,257.0,33487200.0,1986.0,-73.95346500000001,40.7788848,0
67798,1540,2.0,5.0,10128.0,RM,4.0,18125.0,246858.0,30.0,108.0,45243032.0,2016.0,-73.9497095,40.7841037,0
67871,1551,2.0,5.0,10128.0,RM,4.0,7755.0,159512.0,34.0,83.0,10826998.0,2015.0,-73.9483848,40.7787317,0
67984,1564,2.0,5.0,10028.0,RM,4.0,6133.0,96420.0,28.0,89.0,15457951.0,1986.0,-73.9499145,40.7755649,0
68486,1541,2.0,5.0,10128.0,D6,4.0,92927.0,968264.0,35.0,1097.0,94179150.0,1986.0,-73.9482505,40.7842595,0
71037,1624,2.0,5.0,10029.0,D9,3.0,40873.0,509090.0,29.0,526.0,54751050.0,1990.0,-73.9496288,40.785712100000005,0
75770,5722,10.0,11.0,10463.0,D7,4.0,214025.0,844578.0,30.0,589.0,32082750.0,1975.0,-73.9147422,40.8786797,0
87209,2133,28.0,29.0,11375.0,D4,3.0,39053.0,272000.0,28.0,244.0,10835550.0,1964.0,-73.8497698,40.7286881,3
92726,5137,25.0,20.0,11355.0,D7,4.0,73970.0,342705.0,26.0,322.0,10603350.0,1965.0,-73.8245437,40.7529518,3
104634,8489,26.0,23.0,11005.0,D4,3.0,4228300.0,3750565.0,34.0,1866.0,155994300.0,1972.0,-73.71421529999999,40.7567794,3
125449,1114,3.0,3.0,10023.0,RM,4.0,17800.0,138506.0,27.0,122.0,31625107.0,1987.0,-73.9826382,40.7705132,0
125470,1171,3.0,6.0,10069.0,RM,4.0,29770.0,322451.0,31.0,343.0,46685711.0,2004.0,-73.98692890000001,40.7803043,0
126949,1312,2.0,4.0,10022.0,O4,5.0,26731.0,397354.0,32.0,41.0,83303100.0,1987.0,-73.96936740000001,40.7613869,0
126950,1375,2.0,4.0,10065.0,H7,3.0,27113.0,515755.0,41.0,4.0,56063250.0,1930.0,-73.9716797,40.7650874,0
127224,1565,2.0,5.0,10028.0,D4,3.0,19325.0,384646.0,37.0,317.0,38443050.0,1973.0,-73.9478852,40.775879700000004,0
127235,1394,2.0,4.0,10022.0,D4,3.0,24100.0,325173.0,33.0,236.0,38385900.0,1963.0,-73.9686484,40.762811299999996,0
127308,1272,2.0,4.0,10019.0,O4,5.0,40166.0,712000.0,36.0,43.0,173005200.0,1972.0,-73.9763588,40.7635487,0
127311,1273,2.0,4.0,10019.0,O4,5.0,62058.0,1698259.0,49.0,31.0,530128800.0,1971.0,-73.9749905,40.763886,2
127313,1274,2.0,4.0,10019.0,H1,5.0,20275.0,442000.0,43.0,4.0,54757350.0,1972.0,-73.9753801,40.7648111,0
127316,1293,2.0,4.0,10151.0,O4,5.0,21942.0,459340.0,34.0,55.0,112709700.0,1930.0,-73.97318220000001,40.76324879999999,0
127785,1531,2.0,5.0,10028.0,D7,4.0,10216.0,81100.0,26.0,111.0,9350550.0,1986.0,-73.9530288,40.777935,0
127788,1533,2.0,5.0,10128.0,D6,4.0,35722.0,510306.0,30.0,418.0,72144450.0,1975.0,-73.95283979999999,40.7796147,0
127792,1547,2.0,5.0,10028.0,D4,3.0,11850.0,218170.0,40.0,202.0,21384450.0,1987.0,-73.952051,40.7768641,0
128222,1505,2.0,4.0,10128.0,RM,4.0,22102.0,302439.0,32.0,212.0,37218631.0,1984.0,-73.95496259999999,40.7855222,0
128308,1566,2.0,5.0,10028.0,RM,4.0,9490.0,149171.0,39.0,143.0,23308212.0,1986.0,-73.94717709999999,40.7763542,0
129658,1293,2.0,4.0,10022.0,O4,5.0,12900.0,322756.0,42.0,12.0,74074500.0,1929.0,-73.9718289,40.762348200000005,0
131635,75,2.0,1.0,10038.0,D8,3.0,33294.0,541000.0,31.0,579.0,58627800.0,1973.0,-74.0047358,40.7074098,0
131636,75,2.0,1.0,10038.0,O4,5.0,31876.0,296076.0,26.0,98.0,14706000.0,1929.0,-74.0055546,40.707763899999996,0
131637,70,2.0,1.0,10038.0,D6,4.0,23555.0,487950.0,29.0,573.0,60690150.0,1971.0,-74.0055437,40.706995299999996,0
131653,69,2.0,1.0,10038.0,D7,4.0,11550.0,338463.0,35.0,418.0,39686400.0,1931.0,-74.0058936,40.7074674,0
131682,69,2.0,1.0,10038.0,H2,5.0,9914.0,114226.0,28.0,2.0,14818500.0,2012.0,-74.0065068,40.7073905,0
131688,69,2.0,1.0,10038.0,H2,5.0,6281.0,148868.0,39.0,2.0,28955700.0,2015.0,-74.0063156,40.70721760000001,0
133422,89,2.0,1.0,10038.0,H2,5.0,6067.0,119889.0,30.0,2.0,20632050.0,2016.0,-74.0079643,40.7106348,0
133423,89,2.0,1.0,10038.0,O4,5.0,33340.0,756138.0,31.0,68.0,87223500.0,1961.0,-74.00839,40.710870799999995,0
134427,16,2.0,1.0,10280.0,RM,4.0,35352.0,407751.0,33.0,249.0,57322824.0,2006.0,-74.01696290000001,40.706975,0
134440,16,2.0,1.0,10280.0,RM,4.0,24167.0,251929.0,28.0,303.0,40938298.0,1988.0,-74.01659520000001,40.707622799999996,0
134441,16,2.0,1.0,10282.0,RM,4.0,32218.0,377325.0,32.0,282.0,73411851.0,2008.0,-74.01475390000002,40.7159726,0
135790,16,2.0,1.0,10280.0,RM,4.0,23910.0,203837.0,26.0,246.0,36971553.0,1987.0,-74.01805999999999,40.7090773,0
135824,72,2.0,1.0,10038.0,H2,5.0,6700.0,139891.0,33.0,1.0,14813550.0,2016.0,-74.0050711,40.705746500000004,0
143266,1274,2.0,4.0,10019.0,RM,4.0,12050.0,324293.0,33.0,14.0,94093869.0,1931.0,-73.9760405,40.7652476,0
143281,1516,2.0,5.0,10128.0,RM,4.0,5081.0,101335.0,34.0,98.0,22414506.0,2017.0,-73.9535472,40.7800294,0
143775,1436,2.0,5.0,10065.0,RM,4.0,6750.0,100343.0,31.0,111.0,15809859.0,1986.0,-73.96279,40.7622029,0
144100,16,2.0,1.0,10282.0,D8,3.0,16653.0,356786.0,27.0,294.0,50614650.0,2002.0,-74.0161357,40.716573600000004,0
146148,1354,2.0,4.0,10017.0,Z5,8.0,659375.0,2400000.0,39.0,0.0,295458750.0,1952.0,-73.9674669,40.750349799999995,0
146941,2237,28.0,29.0,11375.0,D4,3.0,66330.0,524895.0,31.0,410.0,17986500.0,1965.0,-73.83956500000001,40.7202507,3
149797,90,2.0,1.0,10038.0,D7,4.0,9317.0,182499.0,30.0,171.0,18832950.0,2012.0,-74.0073692,40.710876299999995,0
149895,1294,2.0,4.0,10022.0,O4,5.0,84350.0,1824820.0,50.0,1.0,769333500.0,1968.0,-73.9724348,40.76360820000001,2
150651,16,2.0,1.0,10282.0,RD,3.0,14500.0,289251.0,27.0,167.0,40987358.0,2000.0,-74.0158328,40.7172708,0
150653,16,2.0,1.0,10282.0,RM,4.0,30713.0,507070.0,31.0,253.0,65947513.0,2006.0,-74.0162726,40.716104200000004,0
150869,2340,14.0,33.0,11249.0,D8,3.0,71348.0,522608.0,41.0,511.0,63582750.0,2016.0,-73.9646572,40.719525399999995,1
151155,16,2.0,1.0,10282.0,O4,5.0,97076.0,2157862.0,45.0,6.0,278424000.0,2009.0,-74.0144434,40.714723799999994,2
151166,20,2.0,1.0,10006.0,O4,5.0,15529.0,368315.0,31.0,71.0,26330850.0,1983.0,-74.0132658,40.7065418,0
152243,1369,2.0,5.0,10022.0,R4,3.0,6444.0,63426.0,27.0,75.0,8803383.0,1986.0,-73.9616623,40.7584093,0
153415,1083,2.0,6.0,10019.0,D6,4.0,52720.0,472000.0,38.0,403.0,6175800.0,1974.0,-73.9919854,40.768469399999994,0
153574,2106,5.0,9.0,10039.0,D7,4.0,746956.0,2531670.0,30.0,1615.0,67095000.0,2004.0,-73.93782519999999,40.8309888,0
153703,1438,2.0,5.0,10065.0,R4,3.0,35147.0,403993.0,34.0,300.0,50873347.0,1965.0,-73.9603495,40.7626303,0
153756,1320,2.0,4.0,10017.0,R4,3.0,20357.0,256015.0,43.0,230.0,40387575.0,1982.0,-73.9704325,40.7528565,0
153863,1341,2.0,4.0,10017.0,R4,3.0,25179.0,357793.0,49.0,238.0,56457009.0,1984.0,-73.96764240000002,40.7531001,2
156691,62,2.0,1.0,10006.0,RB,5.0,95348.0,1690747.0,54.0,17.0,209690553.0,1973.0,-74.0108426,40.7097535,2
156709,833,2.0,4.0,10001.0,RR,4.0,14813.0,242364.0,41.0,284.0,28757250.0,2004.0,-73.9866756,40.7470874,0
156717,838,2.0,4.0,10018.0,RH,5.0,10813.0,163694.0,40.0,314.0,28171548.0,2015.0,-73.9859421,40.751133,0
156725,1483,2.0,5.0,10021.0,R4,3.0,25542.0,154610.0,39.0,146.0,27929260.0,1989.0,-73.9524777,40.7658551,0
156728,859,2.0,2.0,10016.0,R4,3.0,8451.0,142131.0,34.0,142.0,25106851.0,2008.0,-73.9841066,40.744383500000005,0
156742,1308,2.0,4.0,10022.0,RB,5.0,81325.0,1526121.0,39.0,2.0,379534050.0,1969.0,-73.97152709999999,40.759005,0
156759,1303,2.0,4.0,10017.0,RM,4.0,13012.0,165538.0,32.0,213.0,26127009.0,1985.0,-73.9724419,40.755137899999994,0
156767,140,13.0,33.0,11201.0,RB,5.0,43749.0,977656.0,32.0,2.0,89554950.0,2002.0,-73.9876958,40.694602200000006,1
156851,702,2.0,3.0,10001.0,RC,5.0,198898.0,3221237.0,68.0,8.0,931377002.0,2015.0,-74.00089870000001,40.753530100000006,2
157237,2570,14.0,33.0,11222.0,D7,4.0,52138.0,366608.0,40.0,411.0,5262300.0,2020.0,-73.96072070000001,40.7268334,1
157310,1008,2.0,4.0,10019.0,RM,4.0,24237.0,698686.0,70.0,340.0,109677602.0,1987.0,-73.9797447,40.764241,2
157354,1051,2.0,3.0,10036.0,RM,4.0,54647.0,1003752.0,59.0,881.0,175776882.0,2008.0,-73.9949718,40.7590386,2
157415,2107,15.0,35.0,11217.0,RM,4.0,24697.0,450160.0,51.0,588.0,44975250.0,2015.0,-73.97887370000001,40.6877719,1
157498,1158,3.0,6.0,10023.0,RM,4.0,84650.0,498079.0,29.0,458.0,41244299.0,1965.0,-73.9854166,40.7772849,0
157521,2340,14.0,33.0,11249.0,R4,3.0,23887.0,182864.0,30.0,181.0,24707304.0,2007.0,-73.96396109999999,40.719344,1
157738,597,2.0,3.0,10013.0,D6,4.0,13683.0,278051.0,27.0,171.0,0.0,2018.0,-74.0085522,40.7271225,0
157771,1029,2.0,4.0,10019.0,D8,3.0,10040.0,316287.0,88.0,235.0,0.0,2013.0,-73.98096579999999,40.7662265,2
157890,814,2.0,3.0,10018.0,O4,5.0,45170.0,911896.0,43.0,229.0,105952050.0,1950.0,-73.9877679,40.7535322,0
158136,991,2.0,4.0,10010.0,D6,4.0,230066.0,1797891.0,40.0,1122.0,108782100.0,1973.0,-73.97326120000001,40.7374235,0
158668,2085,13.0,35.0,11201.0,D3,3.0,26005.0,406217.0,34.0,476.0,21935700.0,2019.0,-73.97995429999999,40.6914776,1
159214,1538,2.0,5.0,10128.0,RM,4.0,32025.0,376934.0,38.0,234.0,49409486.0,2014.0,-73.95031,40.7826657,0
159490,1082,2.0,3.0,10019.0,RM,4.0,94463.0,1082317.0,32.0,914.0,149303930.0,2009.0,-73.9921372,40.767692700000005,0
159586,1226,3.0,6.0,10025.0,RM,4.0,30212.0,262783.0,28.0,229.0,25015276.0,1971.0,-73.9702411,40.7935253,0
160197,1340,2.0,4.0,10017.0,RM,4.0,37050.0,713461.0,70.0,394.0,113738883.0,2000.0,-73.96781949999999,40.7525622,2
160482,1329,2.0,4.0,10022.0,RM,4.0,5020.0,131902.0,46.0,41.0,15619507.0,2001.0,-73.96696829999999,40.758561900000004,2
160559,2472,14.0,33.0,11222.0,D7,4.0,122929.0,259342.0,30.0,303.0,11897100.0,2020.0,-73.9615278,40.7350926,1
160763,1115,3.0,3.0,10023.0,RM,4.0,16535.0,312870.0,27.0,281.0,42684313.0,1981.0,-73.9828366,40.7711143,0
